Early Access - Feb 26 through Mar 2 ,Completed?,,,Version Checker,,,Changelog - Old version updates found at bottom of sheet,,,
Do not spend any Heroic or Mythic Crests until told to do so. Check guide for why we hold crests.,,,,,,,,,,
Check Guide for what and went to craft.,FALSE,,,,,,,,,
"If you don't have 4set, do LFR for tier pieces - obtaining a 4set bonus will allow catalyst charges to drop from all content",FALSE,,,,,,,,,
Complete weekly world event quest for pinnacle cache and spark from Lady Liadrin,FALSE,,,,,,,,,
Complete weekly housing quest from Vaeli for ?hero crests? (will update when it goes live),FALSE,,,,,,,,,
(Optional) Kill World Boss for champ 2/6 250 ilvl item,FALSE,,,,,,,,,
(Optional) Complete 2x Nightmare Prey for Champion gear on each character,FALSE,,,,,,,,,
Do at least one t11 bountiful delve to get Cracked Keystone Quest,FALSE,,,,,,,,,
"Continue to spend all Adventurer, Veteran and Champion Crests upgrading anything",FALSE,,,,,,,,,
Farm +10s for 266 gear in every slot,FALSE,,,,,,,,,
"Before Mythic raid, Upgrade 11x 3/6 hero items once each. If you don't have that many Heroic items, upgrade a ring or trinket more to reduce risk of wasting crests.",FALSE,,,,,,,,,
"Mythic: If you're lucky and got a Myth track item, skip to next week's upgrade advice for it.",FALSE,,,,,,,,,
"Track spent crests: 220/220 Heroic, 0/220 Mythic - never hold Mythic crests",FALSE,,,,,,,,,
"Ending item level: 4x266, 11x269",,,,,,,,,,
"Week 3 – Mar 31 – Final Raid Opens, 3rd craft",,,,,,,,,,
Open vault (272+ myth item) - upgrade after crafting,FALSE,,,,,,,,,
"If no 4p, do LFR for tier pieces (check guide for why)",FALSE,,,,,,,,,
Farm +10s for vault + crests,FALSE,,,,,,,,,
Heroic: Upgrade 2 of your 4/6 269 items to 6/6 276 for 80 Heroic Crests,FALSE,,,,,,,,,
"Mythic: If your vault item was 1/6, upgrade its heroic counterpart first to 6/6 heroic for 20 Heroic Crests. Upgrade your 1/6 272 Myth track item to 6/6 289 for 80 Myth crests.
",FALSE,,,,,,,,,
"If you got a 2nd myth track item, skip to next week's upgrade advice for it.",FALSE,,,,,,,,,
"Track spent crests: 320/320 Heroic, 160/320 Mythic - never hold Mythic crests",FALSE,,,,,,,,,
"Ending item level: 3x266, 8x269, 2x276h, 1x285(crafted), 1x289",,,,,,,,,,
Week 4 – Apr 7 ,,,,,,,,,,
Open vault (272+ myth item),FALSE,,,,,,,,,
Farm +10s for vault + crests,FALSE,,,,,,,,,
Heroic: Upgrade 2 of your 4/6 269 items to 6/6 276 for 80 Heroic Crests,FALSE,,,,,,,,,
"Mythic: If your vault item was 1/6, upgrade its heroic counterpart first to 6/6 heroic for 20 Heroic Crests. Upgrade your 1/6 272 Myth track item to 6/6 289 for 80 Myth crests.
",FALSE,,,,,,,,,
Mythic: Upgrade your raid drop from 2/6 275 Myth track to 6/6 289 for 80 Myth crests.,FALSE,,,,,,,,,
"Track spent crests: 420/400 Heroic, 320/420 Mythic - never hold Mythic crests",FALSE,,,,,,,,,
"Ending item level: 2x266, 5x269, 4x276h, 1x285(crafted), 3x289",,,,,,,,,,
"Week 5 – Apr 14, 4th craft",,,,,,,,,,
Open vault (272+ myth item),FALSE,,,,,,,,,
Farm +10s for vault + crests,FALSE,,,,,,,,,
Craft next item (see doc for more info),FALSE,,,,,,,,,
Heroic: Upgrade 2 of your 4/6 269 items to 6/6 276 for 80 Heroic Crests,FALSE,,,,,,,,,
"Mythic: If your vault item was 1/6, upgrade its heroic counterpart first to 6/6 heroic for 20 Heroic Crests. Upgrade your 1/6 272 Myth track item to 6/6 289 for 80 Myth crests.
",FALSE,,,,,,,,,
"Track spent crests: 520/520 Heroic, 480/520 Mythic - never hold Mythic crests",FALSE,,,,,,,,,
"Ending item level:  1x266, 2x269, 6x276h, 2x285(crafted), 4x289 ",,,,,,,,,,
Week 6 – Apr 21 - Done with Heroic Crests,,,,,,,,,,
Open vault (272+ myth item),FALSE,,,,,,,,,
Farm +10s for vault + crests,FALSE,,,,,,,,,
Heroic: Upgrade your last 4/6 269 item to 6/6 276 for 40 Heroic Crests,FALSE,,,,,,,,,
"Mythic: If your vault item was 1/6, upgrade its heroic counterpart first to 6/6 heroic for 20 Heroic Crests. Upgrade your 1/6 272 Myth track item to 6/6 289 for 80 Myth crests.
",FALSE,,,,,,,,,
Mythic: Upgrade your raid drop from 2/6 275 Myth track to 6/6 289 for 80 Myth crests.,FALSE,,,,,,,,,
"Track spent crests: 560/620 Heroic, 620/620 Mythic - never hold Mythic crests",FALSE,,,,,,,,,
"Ending item level:  7x276h, 2x285(crafted), 1x 285, 5x289 ",,,,,,,,,,
Week 7 – Apr 28+ ,,,,,,,,,,
Do not craft if you can get vault items higher than 1/6,,,,,,,,,,
"Upgrade Mythic items as you get them, preferring to jump them to 289 for the +4 jump",,,,,,,,,,
Plan for possible 1H + crafted OH swap,,,,,,,,,,
Enjoy Blizzard's much better upgrade system!,,,,,,,,,,
